publisher_id,bias
25067168,0
16973333,1
2097571,-1
87818409,-1
868112707,0
1994321,-1
16343974,1
2461887810,-1
428333,-1
21749564,0
15754281,-1
64643056,1
3108351,1
34262462,1
174253648,0
271413771,-1
372502604,-1
15164565,-1
212369763,0
20159596,0
240028072,0
380648579,0
32272710,0
14173315,-1
1562935142,-1
28785486,0
7587032,-1
6017542,-1
2779009591,0
742143,-1
95148130,0
14138785,1
15438913,1
1367531,1
14293310,-1
5402612,-1
87416722,-1
51241574,0
747822822,0
9651232,-1
718294442,0
1652541,0
328967731,0
1299769218,-1
25049056,-1
14511951,-1
